Buttons,ID,PosX,PosY,ShapeLink,,,,,
PushButton,1,5,3,Circle,,,,,
PushButton,2,13,7,Square,,,,,
,,,,,,,,,
Disappear Walls,ID,ButtonTriggerID,ShapeLink,WallScaleX,WallScaleY,PosX,PosY,TransitionTime,ChangeDelayTime
DisappearWall,3,1,Circle,2,4,13,2,1,0.2
DisappearWall,4,1,Circle,4,2,14,9,1,0.2
DisappearWall,5,2,Square,2,2,5,1,1,0.2
DisappearWall,6,2,Square,2,2,5,9,1,0.2
,,,,,,,,,
,,,,,,,,,
StaticWalls,ID,ShapeLink,WallScaleX,WallScaleY,PosX,PosY,,,
StaticWall,7,None,2,4,3,4,,,
StaticWall,8,None,2,4,5,6,,,
StaticWall,9,None,2,4,15,6,,,
StaticWall,10,None,2,2,13,5,,,
,,,,,,,,,
Torches,ID,PosX,PosY,Expirable,LightDuration(sec),,,,
Torch,11,17.8,3,TRUE,20,,,,
Torch,12,17,9.8,TRUE,20,,,,
Torch,13,0.2,7,TRUE,20,,,,
Torch,14,3,1.8,TRUE,20,,,,
,,,,,,,,,
Knights,PosX,PosY,,,,,,,
Knight,7,0.2,,,,,,,
Knight,11,0.2,,,,,,,
Knight,7,9.8,,,,,,,
Knight,11,9.8,,,,,,,
,,,,,,,,,
Times,Time(s),,,,,,,,
RewardTime,50,,,,,,,,
TotalTime,100,,,,,,,,
