Buttons,ID,PosX,PosY,ShapeLink,,,,,,,
SwitchButton,1,9,1,Circle,,,,,,,
PushButton,2,9,3,Square,,,,,,,
,,,,,,,,,,,
Sliding Walls,ID,ButtonTriggerID,ShapeLink,WallScaleX,WallScaleY,OpenPosX,OpenPosY,ClosedPosX,ClosedPosY,TransitionTime,ChangeDelayTime
SlidingWall,3,1,Circle,2,2,3,9,3,1,3,0.2
SlidingWall,4,1,Circle,2,4,15,8,15,2,5,0.2
,,,,,,,,,,,
Disappear Walls,ID,ButtonTriggerID,ShapeLink,WallScaleX,WallScaleY,PosX,PosY,TransitionTime,ChangeDelayTime,,
DisappearWall,5,2,Square,2,4,5,6,1,0.2,,
DisappearWall,6,2,Square,2,2,13,1,1,0.2,,
,,,,,,,,,,,
StaticWalls,ID,ShapeLink,WallScaleX,WallScaleY,PosX,PosY,,,,,
StaticWall,7,None,2,4,5,2,,,,,
StaticWall,8,None,2,6,13,5,,,,,
StaticWall,9,None,6,2,9,7,,,,,
,,,,,,,,,,,
Torches,ID,PosX,PosY,Expirable,LightDuration(sec),,,,,,
Torch,10,7,9.8,TRUE,15,,,,,,
Torch,11,17.8,3,TRUE,15,,,,,,
Torch,12,17.8,5,TRUE,15,,,,,,
Torch,13,11,9.8,TRUE,15,,,,,,
