Buttons,ID,PosX,PosY,ShapeLink,,,,,
PushButton,1,9,1,Square,,,,,
PushButton,2,9,7,Circle,,,,,
,,,,,,,,,
Disappear Walls,ID,ButtonTriggerID,ShapeLink,WallScaleX,WallScaleY,PosX,PosY,TransitionTime,ChangeDelayTime
DisappearWall,3,1,Square,2,10,15,5,1,0.2
DisappearWall,4,2,Circle,2,10,3,5,1,0.2
DisappearWall,5,2,Circle,2,4,5,6,1,0.2
,,,,,,,,,
StaticWalls,ID,ShapeLink,WallScaleX,WallScaleY,PosX,PosY,,,
StaticWall,6,None,6,2,9,3,,,
StaticWall,7,None,2,4,5,2,,,
,,,,,,,,,
Torches,ID,PosX,PosY,Expirable,LightDuration(sec),,,,
Torch,8,17.8,1,TRUE,20,,,,
Torch,9,17.8,3,TRUE,20,,,,
Torch,10,17.8,9,TRUE,20,,,,
Torch,11,0.2,1,TRUE,20,,,,
Torch,12,0.2,3,TRUE,20,,,,
,,,,,,,,,
Knights,PosX,PosY,,,,,,,
Knight,0.2,5,,,,,,,
Knight,17.8,5,,,,,,,
Knight,0.2,7,,,,,,,
Knight,17.8,7,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Times,Time(s),,,,,,,,
RewardTime,45,,,,,,,,
TotalTime,90,,,,,,,,
